"Date","Price","Open","High","Low","Change %"
"May 02, 2022","4,009.98","3,958.00","4,017.00","3,958.00","1.31%"
"Apr 29, 2022","3,958.00","3,984.95","3,990.90","3,951.35","-0.68%"
"Apr 28, 2022","3,984.95","3,955.00","3,999.75","3,954.58","0.76%"
"Apr 27, 2022","3,955.00","3,944.70","3,986.95","3,940.76","0.26%"
"Apr 26, 2022","3,944.70","3,936.50","3,965.10","3,932.57","0.21%"
"Apr 25, 2022","3,936.50","3,859.06","3,959.67","3,855.21","2.09%"
"Apr 22, 2022","3,856.01","3,774.01","3,859.01","3,770.23","2.17%"
"Apr 21, 2022","3,774.01","3,759.40","3,777.01","3,747.01","0.39%"
"Apr 20, 2022","3,759.40","3,749.49","3,769.15","3,743.49","0.26%"
"Apr 19, 2022","3,749.49","3,732.51","3,767.99","3,732.51","0.45%"
"Apr 18, 2022","3,732.51","3,723.01","3,744.01","3,716.70","0.26%"
"Apr 15, 2022","3,723.01","3,743.01","3,744.99","3,723.01","-0.49%"
"Apr 14, 2022","3,741.32","3,725.06","3,749.06","3,721.50","0.49%"
"Apr 13, 2022","3,723.01","3,752.14","3,760.82","3,718.26","-0.81%"
"Apr 12, 2022","3,753.34","3,739.01","3,768.01","3,710.01","0.38%"
"Apr 11, 2022","3,739.01","3,757.01","3,762.01","3,732.01","-0.48%"
"Apr 08, 2022","3,757.01","3,769.45","3,798.01","3,749.01","-0.33%"
"Apr 07, 2022","3,769.45","3,752.01","3,780.01","3,740.01","0.46%"
"Apr 06, 2022","3,752.01","3,740.95","3,761.99","3,725.01","0.30%"
"Apr 05, 2022","3,740.95","3,704.51","3,749.90","3,693.01","0.98%"
"Apr 04, 2022","3,704.51","3,749.05","3,749.53","3,690.01","-1.19%"
"Apr 01, 2022","3,749.05","3,773.01","3,797.95","3,749.05","-0.64%"
"Mar 31, 2022","3,773.01","3,753.70","3,773.01","3,748.11","0.51%"
"Mar 30, 2022","3,753.70","3,756.34","3,766.95","3,738.26","-0.04%"
"Mar 29, 2022","3,755.15","3,785.20","3,788.10","3,755.15","-0.79%"
"Mar 28, 2022","3,785.20","3,794.65","3,808.01","3,775.01","-0.25%"
"Mar 25, 2022","3,794.65","3,787.01","3,800.01","3,760.20","0.20%"
"Mar 24, 2022","3,787.01","3,783.51","3,816.99","3,775.01","0.09%"
"Mar 23, 2022","3,783.51","3,760.51","3,792.01","3,732.01","0.61%"
"Mar 22, 2022","3,760.52","3,800.01","3,818.76","3,751.51","-1.04%"
"Mar 21, 2022","3,800.01","3,818.76","3,821.64","3,800.01","-0.49%"
"Mar 18, 2022","3,818.76","3,825.01","3,838.01","3,805.05","-0.16%"
"Mar 17, 2022","3,825.01","3,835.01","3,835.01","3,805.15","-0.26%"
"Mar 16, 2022","3,835.01","3,829.01","3,840.01","3,811.40","0.16%"
"Mar 15, 2022","3,829.01","3,797.61","3,853.95","3,784.49","0.83%"
"Mar 14, 2022","3,797.61","3,820.01","3,830.01","3,771.51","-0.59%"
"Mar 11, 2022","3,820.01","3,822.01","3,847.76","3,806.61","-0.05%"
"Mar 10, 2022","3,822.01","3,743.01","3,838.01","3,743.01","2.11%"
"Mar 09, 2022","3,743.01","3,771.05","3,771.05","3,728.11","-0.74%"
"Mar 08, 2022","3,771.06","3,813.01","3,815.90","3,769.89","-1.10%"
"Mar 07, 2022","3,813.01","3,830.01","3,830.01","3,798.51","-0.44%"
"Mar 04, 2022","3,830.01","3,759.44","3,830.01","3,755.68","1.88%"
"Mar 03, 2022","3,759.44","3,838.01","3,838.01","3,745.61","-2.05%"
"Mar 02, 2022","3,838.01","3,883.01","3,890.01","3,834.17","-1.16%"
"Mar 01, 2022","3,883.01","3,937.01","3,947.01","3,880.55","-1.37%"
"Feb 28, 2022","3,937.01","3,913.55","3,943.01","3,894.20","0.60%"
"Feb 25, 2022","3,913.55","3,927.01","3,927.01","3,900.01","-0.34%"
"Feb 24, 2022","3,927.01","3,913.01","3,979.01","3,910.51","0.36%"
"Feb 23, 2022","3,913.01","3,930.01","3,930.01","3,904.01","-0.43%"
"Feb 22, 2022","3,930.01","3,935.01","3,940.01","3,925.01","-0.13%"
"Feb 21, 2022","3,935.01","3,932.01","3,939.01","3,932.01","0.08%"
"Feb 18, 2022","3,932.01","3,934.34","3,939.36","3,919.30","-0.04%"
"Feb 17, 2022","3,933.75","3,963.81","3,972.52","3,926.00","-0.77%"
"Feb 16, 2022","3,964.40","3,951.59","3,970.76","3,951.59","0.34%"
"Feb 15, 2022","3,950.99","3,944.88","3,956.30","3,933.20","0.15%"
"Feb 14, 2022","3,944.88","3,924.82","3,946.00","3,909.51","0.40%"
"Feb 11, 2022","3,928.99","3,924.01","3,933.41","3,898.01","0.13%"
"Feb 10, 2022","3,924.01","3,937.72","3,939.01","3,904.01","-0.35%"
"Feb 09, 2022","3,937.72","3,949.20","3,957.41","3,931.01","-0.26%"
"Feb 08, 2022","3,948.01","3,965.61","3,983.01","3,941.61","-0.44%"
"Feb 07, 2022","3,965.61","3,952.55","3,974.70","3,943.34","0.33%"
"Feb 04, 2022","3,952.55","3,956.43","3,975.01","3,946.16","-0.10%"
"Feb 03, 2022","3,956.43","3,935.01","3,960.01","3,924.95","0.54%"
"Feb 02, 2022","3,935.01","3,925.51","3,940.01","3,910.01","0.24%"
"Feb 01, 2022","3,925.51","3,947.78","3,947.78","3,915.05","-0.56%"
"Jan 31, 2022","3,947.78","3,958.01","3,970.01","3,937.01","-0.26%"
"Jan 28, 2022","3,958.01","3,963.01","3,995.01","3,952.20","-0.13%"
"Jan 27, 2022","3,963.01","3,930.59","3,971.51","3,924.59","0.84%"
"Jan 26, 2022","3,930.00","3,969.34","3,973.72","3,928.00","-0.96%"
"Jan 25, 2022","3,968.15","3,976.50","4,004.00","3,962.50","-0.21%"
"Jan 24, 2022","3,976.50","3,957.03","3,981.20","3,953.08","0.51%"
"Jan 21, 2022","3,956.43","3,975.01","3,988.01","3,951.61","-0.47%"
"Jan 20, 2022","3,975.01","3,994.36","3,994.36","3,966.51","-0.48%"
"Jan 19, 2022","3,994.36","4,037.19","4,037.19","3,990.01","-1.06%"
"Jan 18, 2022","4,037.19","4,007.26","4,041.76","4,001.77","0.75%"
"Jan 17, 2022","4,007.26","4,007.26","4,007.26","4,007.26","0.00%"
