Date;Price;Open;High;Low;Change %;Date;Dia;Año;mes;Fecha1;Fecha
Jun 27 2022;4123.6;4140.5;4144.85;4125;-0.0018;June;27;2022;6;2022-06-27;27/06/2022
Jun 28 2022;4086.6;4133;4140.5;4062;-0.009;June;28;2022;6;2022-06-28;28/06/2022
Jun 29 2022;4107.6;4096;4151.25;4080.01;0.0051;June;29;2022;6;2022-06-29;29/06/2022
Jun 30 2022;4141.97;4117;4179.8;4115.65;0.0084;June;30;2022;6;2022-06-30;30/06/2022
Jul 01 2022;4195.65;4151.37;4212.94;4151.37;0.013;July;1;2022;7;2022-07-1;1/07/2022
Jul 04 2022;4195.65;4205.05;4205.05;4198.39;0;July;4;2022;7;2022-07-4;4/07/2022
Jul 05 2022;4270.6;4205.05;4282.45;4205.05;0.0179;July;5;2022;7;2022-07-5;5/07/2022
Jul 06 2022;4344.1;4280;4398.2;4277.87;0.0172;July;6;2022;7;2022-07-6;6/07/2022
Jul 07 2022;4385.6;4353.5;4400.13;4321.52;0.0096;July;7;2022;7;2022-07-7;7/07/2022
Jul 08 2022;4411.1;4395;4429.15;4351;0.0058;July;8;2022;7;2022-07-8;8/07/2022
Jul 11 2022;4569.48;4420.5;4579.24;4413.77;0.0359;July;11;2022;7;2022-07-11;11/07/2022
Jul 12 2022;4622.05;4578.88;4665.21;4573.5;0.0115;July;12;2022;7;2022-07-12;12/07/2022
Jul 13 2022;4485.65;4625;4660;4480;-0.0295;July;13;2022;7;2022-07-13;13/07/2022
Jul 14 2022;4482.6;4490;4582.25;4482.24;-0.0007;July;14;2022;7;2022-07-14;14/07/2022
Jul 15 2022;4349.6;4492;4499.15;4348.83;-0.0297;July;15;2022;7;2022-07-15;15/07/2022
Jul 18 2022;4296.25;4359;4363.15;4292.42;-0.0123;July;18;2022;7;2022-07-18;18/07/2022
Jul 19 2022;4313.2;4305.65;4346.5;4280;0.0039;July;19;2022;7;2022-07-19;19/07/2022
Jul 20 2022;4344.25;4322.6;4356;4316.1;0.0072;July;20;2022;7;2022-07-20;20/07/2022
Jul 21 2022;4414.8;4356;4437.06;4344;0.0162;July;21;2022;7;2022-07-21;21/07/2022
